"","Territory","TotalPrice","UnitPrice","Area"
"1","昌平",5623.60084033613,59.1915616576704,103.53781512605
"2","朝阳",13827.3745928339,118.429349004621,116.843648208469
"3","大兴",6191.16071428571,63.7204190560485,97.0833333333333
"4","东城",12815.1982758621,138.025045925559,88.75
"5","房山",3835.15151515152,45.914751168494,85.1212121212121
"6","丰台",6832.32882011605,83.8492282323184,81.1276595744681
"7","海淀",14774.2552816901,116.849601963056,123.330985915493
"8","怀柔",2611.11111111111,35.8155764383714,74
"9","门头沟",2892.1568627451,41.6584293107588,136.196078431373
"10","密云",4655.55555555556,45.4817989016538,91.4444444444444
"11","平谷",1928.57142857143,20.728248080402,96.7142857142857
"12","石景山",6478.32911392405,81.9194858908573,80.3164556962025
"13","顺义",19641.875,84.5251227763355,230.3
"14","通州",4794.93277310924,62.5515642246347,79.8739495798319
"15","西城",10694.1326860841,133.332681346522,76.9255663430421
"16","亦庄开发区",5300,88.3150670744548,62
