"","Territory","Location","TotalPrice","UnitPrice","Area"
"1","朝阳","CBD",13540,154.779444901117,88.65
"2","东城","安定门",9520,124.529767837025,78.8
"3","海淀","安宁庄",15383.7,93.1720616154144,156
"4","朝阳","安贞",9169.5652173913,128.774572773752,72.6521739130435
"5","东城","安贞",7166.66666666667,137.477718360071,53.3333333333333
"6","朝阳","奥林匹克公园",12051.5151515152,103.44656000757,115.969696969697
"7","朝阳","八里庄",10668.4210526316,106.749406326597,101
"8","朝阳","百子湾",12289.1891891892,95.0052636489747,150.189189189189
"9","通州","北关",5053.34482758621,81.4320342677195,66.4137931034483
"10","昌平","北七家",7624.41176470588,46.187422327696,191.588235294118
"11","朝阳","北苑",12420.4081632653,96.1787469834001,127.714285714286
"12","门头沟","滨河西区",2383.33333333333,41.5324883822868,59.25
"13","丰台","草桥",8733.33333333333,92.7033592895077,93.7222222222222
"14","昌平","昌平县城",3376.47058823529,46.2090376310655,76.2352941176471
"15","朝阳","常营",7146.15384615385,87.4152144053742,83.1538461538462
"16","朝阳","朝青",20435.3658536585,128.755900317397,159.829268292683
"17","朝阳","朝阳公园",25035.0877192982,148.824182440478,158.280701754386
"18","朝阳","朝阳门",13000,146.640437846511,95.5
"19","东城","朝阳门",9535.29411764706,145.277156660193,67.8823529411765
"20","朝阳","成寿寺",8833.33333333333,88.6472746294332,99.8333333333333
"21","丰台","成寿寺",7033.33333333333,80.7516800641571,89.5555555555556
"22","东城","崇文门",10023.8095238095,134.717121468098,77
"23","通州","次渠",3871.42857142857,50.2654123969433,79.7619047619048
"24","朝阳","大望路",12235.7142857143,119.919019625928,102.309523809524
"25","朝阳","定福庄",6200,80.3448431219323,79.7105263157895
"26","海淀","定慧寺",7253.33333333333,116.835417907648,65.25
"27","朝阳","东坝",5843.47826086957,64.1588803044666,92.0869565217391
"28","朝阳","东大桥",18160,151.426271090179,120.533333333333
"29","东城","东单",20030,148.997407983393,136.4
"30","东城","东直门",19066.6551724138,159.758262895454,118.051724137931
"31","朝阳","豆各庄",5215.53333333333,60.1605507035485,89.1333333333333
"32","朝阳","垡头",9046.78571428571,83.1109980721051,105.821428571429
"33","朝阳","方庄",5328.57142857143,119.246070684229,46.6428571428571
"34","丰台","方庄",9568.18181818182,101.70815175013,97
"35","丰台","丰益桥",6112.5,70.8566246844814,88.5416666666667
"36","西城","阜成门",7550,129.682747143664,59.4285714285714
"37","海淀","甘家口",8870.83333333333,128.177066838641,69.5416666666667
"38","朝阳","工体",8744.44444444445,148.757836745917,58.3333333333333
"39","东城","工体",11666.6666666667,155.001144063368,77
"40","海淀","公主坟",16443.4782608696,130.046110210764,101.782608695652
"41","西城","官园",12791.6666666667,161.158489002218,79.3333333333333
"42","朝阳","管庄",6104.16666666667,88.7005863972882,69.5833333333333
"43","丰台","广安门",5100,110.869565217391,46
"44","西城","广安门",6574.35897435897,113.613766289046,60.6666666666667
"45","朝阳","广渠门",5930,102.241379310345,58
"46","东城","广渠门",8977.77777777778,107.814663225062,85.7037037037037
"47","朝阳","国贸CBD",23425,152.402249781884,139.5
"48","通州","果园",4982.60869565217,63.479589801549,81.3478260869565
"49","朝阳","和平里",7587.5,116.957920455467,66.125
"50","东城","和平里",7390,133.937858930955,56.5
"51","丰台","和义",4150,62.8601894321275,66.6666666666667
"52","朝阳","红庙",12966.6666666667,150.713160741268,86
"53","顺义","后沙峪",21078.2608695652,98.6222163831606,218.130434782609
"54","朝阳","华威桥",12910.5263157895,115.859545393336,104.315789473684
"55","朝阳","欢乐谷",10093.3333333333,85.9698420410954,117.533333333333
"56","大兴","黄村",4449.92857142857,64.2290256632717,71.0714285714286
"57","昌平","回龙观",6269.31147540984,69.5428750646476,92.4754098360656
"58","朝阳","惠新西街",9650,135.108957816917,73.9444444444444
"59","昌平","霍营",5578,66.6785203037613,87.96
"60","朝阳","建国门",21970.5490196078,165.510184930374,136.921568627451
"61","东城","建国门",11716,150.922746521476,77
"62","丰台","角门",6061.11111111111,87.9346616169116,72.1666666666667
"63","西城","金融街",18931.5789473684,169.15232228051,111.526315789474
"64","朝阳","劲松",7559.52380952381,109.092287210826,70.8095238095238
"65","通州","九棵树",5413.63636363636,60.1316351234271,90.7272727272727
"66","朝阳","酒仙桥",16577.8571428571,133.295281355953,123.414285714286
"67","大兴","旧宫",6678.8,70.8226345378587,94.05
"68","丰台","旧宫",4500,55.9013044161559,82
"69","丰台","看丹桥",5087.33333333333,83.4726272823157,61.7333333333333
"70","丰台","科技园区",7226.94117647059,86.2062147136016,80.7176470588235
"71","朝阳","来广营",30023.3269230769,86.2513205954465,357
"72","通州","梨园",4538.5,63.9609285186992,77.1764705882353
"73","房山","良乡",3230.55555555556,40.3278451132852,83.9166666666667
"74","丰台","刘家窑",6339.86666666667,82.2761503712122,76.9333333333333
"75","丰台","六里桥",11390.9090909091,93.4633584494152,120.454545454545
"76","海淀","六里桥",5500,91.6666666666667,60
"77","西城","六铺炕",7442.85714285714,121.610119296663,62.2857142857143
"78","丰台","卢沟桥",9030,56.7524749114646,112.3
"79","石景山","鲁谷",7261.11111111111,91.9125398664985,78.9444444444444
"80","通州","潞苑",3632.5,47.7979504312915,77.25
"81","朝阳","马甸",6500,154.761904761905,42
"82","海淀","马甸",11100,128.418953788412,98.6666666666667
"83","西城","马甸",7070,138.49001018632,52.7
"84","丰台","马家堡",5972.72727272727,93.9099084476545,66.4090909090909
"85","西城","马连道",6240.95238095238,104.421136403641,62.7619047619048
"86","海淀","马连洼",7888.88888888889,99.7347163284755,83.3333333333333
